Date,Series,Open,High,Low,Prev. close,Ltp,Close,Vwap,52w h,52w l,Volume,Value,No of trades
24-Jan-2024,EQ,130.2,135.55,130.1,130.1,134.9,135.15,133.35,141.25,101.55,39340119,5245853350.9,216385
23-Jan-2024,EQ,134.8,135.2,129.3,133.95,130.05,130.1,132.31,141.25,101.55,35373970,4680431862.5,217517
20-Jan-2024,EQ,134.25,135.2,133.3,134.25,133.9,133.95,134.26,141.25,101.55,16578179,2225719129.05,122378
19-Jan-2024,EQ,132.6,134.7,131.6,131.0,134.1,134.25,133.63,141.25,101.55,32653013,4363534601.95,187679
18-Jan-2024,EQ,131.65,132.25,128.2,131.65,131.35,131.0,130.47,141.25,101.55,45273496,5906640975.6,267573
17-Jan-2024,EQ,135.45,135.75,131.4,137.25,131.8,131.65,133.28,141.25,101.55,58982971,7861046380.15,298756
16-Jan-2024,EQ,134.7,138.5,134.0,134.9,137.25,137.25,136.59,141.25,101.55,56361287,7698143042.3,213394
15-Jan-2024,EQ,136.0,136.25,133.95,135.3,135.0,134.9,134.79,141.25,101.55,34158775,4604327884.95,177458
12-Jan-2024,EQ,135.8,136.25,134.65,134.9,135.45,135.3,135.58,141.25,101.55,32883921,4458550005.35,170543
11-Jan-2024,EQ,134.85,135.65,134.2,134.1,135.1,134.9,135.05,141.25,101.55,23113349,3121521575.35,152705
10-Jan-2024,EQ,133.8,134.7,132.1,133.65,134.15,134.1,133.72,141.25,101.55,27213624,3639089609.3,175426
09-Jan-2024,EQ,133.5,134.8,132.5,132.0,133.85,133.65,133.81,141.25,101.55,30736868,4113002298.9,168721
08-Jan-2024,EQ,135.3,135.95,131.75,133.65,132.3,132.0,133.63,141.25,101.55,39559717,5286469683.2,228285
05-Jan-2024,EQ,135.0,135.95,132.85,134.25,133.7,133.65,134.34,141.25,101.55,71330190,9582167218.8,248067
04-Jan-2024,EQ,136.0,136.35,134.0,135.35,134.4,134.25,134.42,141.25,101.55,43913498,5902644745.45,249740
03-Jan-2024,EQ,139.5,139.6,134.35,139.6,135.0,135.35,136.44,141.25,101.55,45176618,6164041917.5,279840
02-Jan-2024,EQ,140.5,140.6,137.05,139.85,139.5,139.6,139.16,141.25,101.55,27764060,3863703836.75,167466
01-Jan-2024,EQ,140.0,140.95,139.05,139.6,139.7,139.85,140.16,141.25,101.55,21186105,2969470656.95,187550
