Date,Series,Open,High,Low,Prev. close,Ltp,Close,Vwap,52w h,52w l,Volume,Value,No of trades
04-Sep-2024,EQ,553.55,557.9,542.9,555.45,552.1,549.0,552.03,570.35,375.7,1464043,808200450.90,34497
03-Sep-2024,EQ,547.5,556.45,544.95,547.5,556.0,555.45,550.84,570.35,375.7,3042354,1675858987.40,44086
02-Sep-2024,EQ,554.1,570.35,544.7,552.8,547.8,547.5,555.98,570.35,375.7,4845177,2693832863.35,96140
30-Aug-2024,EQ,549.0,560.75,545.85,543.35,552.55,552.8,554.21,560.75,375.7,3658502,2027595183.80,63518
29-Aug-2024,EQ,539.9,547.2,537.6,538.7,545.0,543.35,541.97,559.4,375.7,2223470,1205056760.15,80634
28-Aug-2024,EQ,538.0,540.0,535.05,534.15,539.25,538.7,538.37,559.4,375.7,1425394,767392712.90,53684
27-Aug-2024,EQ,525.0,535.35,519.95,525.15,534.0,534.15,532.17,559.4,375.7,1427104,759459138.55,29326
26-Aug-2024,EQ,528.0,529.2,521.7,524.05,524.55,525.15,524.53,559.4,375.7,675313,354225232.10,21976
23-Aug-2024,EQ,540.5,542.6,522.75,540.4,525.1,524.05,527.35,559.4,375.7,1428892,753524528.70,32437
22-Aug-2024,EQ,551.0,553.95,539.7,550.3,540.5,540.4,544.4,559.4,375.7,1778307,968114694.55,37887
21-Aug-2024,EQ,550.0,554.6,548.25,548.45,551.0,550.3,551.12,559.4,375.7,723902,398954434.85,20807
20-Aug-2024,EQ,550.0,552.95,542.8,548.15,549.7,548.45,547.19,559.4,375.7,846656,463285223.15,25885
19-Aug-2024,EQ,545.0,555.0,543.05,545.85,548.0,548.15,550.3,559.4,375.7,1294407,712312229.60,40923
16-Aug-2024,EQ,539.0,546.5,538.4,538.5,546.0,545.85,543.12,559.4,375.7,764059,414974332.80,17897
14-Aug-2024,EQ,541.95,544.85,536.5,540.65,539.15,538.5,539.87,559.4,375.7,478064,258090549.60,18113
13-Aug-2024,EQ,547.0,551.0,539.05,542.95,542.3,540.65,545.95,559.4,375.7,1147785,626635994.70,34399
12-Aug-2024,EQ,537.05,545.0,533.5,537.4,542.05,542.95,539.12,559.4,375.7,1312776,707741518.30,30383
09-Aug-2024,EQ,544.45,544.95,531.1,541.95,537.0,537.4,536.25,559.4,375.7,1592424,853934584.85,60518
08-Aug-2024,EQ,546.75,546.95,540.1,547.75,542.05,541.95,542.5,559.4,375.7,1093035,592976364.85,48834
07-Aug-2024,EQ,543.0,548.85,538.05,535.6,547.0,547.75,544.9,559.4,375.7,1043395,568546627.25,46874
06-Aug-2024,EQ,530.0,549.0,528.8,528.2,539.35,535.6,543.28,559.4,375.7,2790578,1516055401.10,56874
05-Aug-2024,EQ,520.0,532.2,513.3,538.1,528.8,528.2,525.51,559.4,375.7,2968057,1559739281.25,45158
02-Aug-2024,EQ,531.0,543.1,531.0,541.65,540.0,538.1,538.74,559.4,375.7,571093,307669123.60,25893
01-Aug-2024,EQ,551.35,553.55,539.6,548.0,541.8,541.65,545.84,559.4,375.7,630255,344019050.20,17943
31-Jul-2024,EQ,555.0,559.4,547.15,553.45,548.5,548.0,552.59,559.4,375.7,1155522,638526903.20,32644
30-Jul-2024,EQ,542.0,556.35,542.0,544.15,554.0,553.45,552.99,556.35,375.7,2796456,1546425013.15,52412
29-Jul-2024,EQ,545.0,555.0,541.3,540.5,543.0,544.15,546.11,555.0,375.7,1798902,982393849.75,44353
26-Jul-2024,EQ,539.45,542.85,530.6,535.0,542.85,540.5,537.43,553.4,375.7,2332952,1253789251.00,43953
25-Jul-2024,EQ,545.0,547.2,530.0,548.8,536.5,535.0,536.44,553.4,375.7,2452392,1315564408.85,39497
24-Jul-2024,EQ,535.7,553.4,532.55,534.1,548.0,548.8,545.3,553.4,375.7,2792682,1522849997.90,49066
23-Jul-2024,EQ,547.0,547.0,516.3,544.55,540.0,534.1,535.1,550.9,375.7,1796602,961355458.25,43776
22-Jul-2024,EQ,527.95,547.95,523.25,528.85,543.0,544.55,542.58,550.9,375.7,2349542,1274821877.35,46879
19-Jul-2024,EQ,539.5,539.5,524.05,533.75,529.95,528.85,529.62,550.9,375.7,1330245,704521823.70,43777
18-Jul-2024,EQ,543.4,550.9,531.55,540.75,534.95,533.75,542.29,550.9,375.7,3350226,1816803177.45,61650
16-Jul-2024,EQ,534.0,542.7,529.6,533.3,540.15,540.75,539.88,542.7,375.7,3459345,1867619404.10,54261
15-Jul-2024,EQ,527.0,538.4,521.6,525.5,534.05,533.3,534.2,540.45,375.7,2486355,1328207762.55,46967
12-Jul-2024,EQ,531.0,534.6,523.55,530.8,524.7,525.5,528.07,540.45,375.7,1514123,799561944.10,33509
11-Jul-2024,EQ,529.0,532.45,519.15,527.55,529.9,530.8,527.57,540.45,375.7,1293225,682272128.25,37457
10-Jul-2024,EQ,530.15,540.45,520.05,522.4,527.15,527.55,531.62,540.45,375.7,4784575,2543587453.50,84846
09-Jul-2024,EQ,528.3,530.15,518.55,525.0,521.5,522.4,522.07,537.5,375.7,1278261,667340454.55,38213
08-Jul-2024,EQ,525.95,526.9,516.85,522.3,525.5,525.0,523.1,537.5,375.7,2057831,1076454578.70,29482
05-Jul-2024,EQ,519.0,526.0,515.1,518.2,521.5,522.3,519.5,537.5,375.7,1720293,893693208.95,32781
04-Jul-2024,EQ,518.9,522.4,514.0,517.45,519.1,518.2,517.41,537.5,375.7,1207548,624794899.35,23430
03-Jul-2024,EQ,520.0,523.35,513.6,519.6,517.9,517.45,517.74,537.5,375.7,1165392,603375591.05,26728
