Date,Series,Open,High,Low,Prev. close,Ltp,Close,Vwap,52w h,52w l,Volume,Value,No of trades
08-Feb-2024,EQ,179.45,185.7,178.25,178.7,180.5,180.6,182.03,193.8,88.85,4632310,843234339.95,52285
07-Feb-2024,EQ,183.65,183.8,176.4,182.25,179.6,178.7,179.08,193.8,88.85,2571353,460471050.5,40039
06-Feb-2024,EQ,186.45,188.9,180.5,184.9,182.15,182.25,183.79,193.8,88.85,3382644,621712821.0,28835
05-Feb-2024,EQ,183.8,193.8,183.1,182.35,185.4,184.9,187.81,193.8,88.85,7268200,1365027859.55,65396
02-Feb-2024,EQ,183.6,190.0,180.55,180.65,182.6,182.35,185.43,190.0,88.2,9540327,1769022666.7,65455
01-Feb-2024,EQ,178.7,185.45,177.0,176.2,180.95,180.65,182.01,185.45,88.2,16614006,3023896101.05,117736
31-Jan-2024,EQ,171.4,177.0,170.3,169.9,176.65,176.2,174.42,177.0,88.2,8435095,1471212399.55,54648
30-Jan-2024,EQ,170.85,175.0,168.2,168.35,169.65,169.9,172.67,175.0,88.2,12820218,2213656178.75,74674
29-Jan-2024,EQ,165.0,170.5,163.15,163.6,169.1,168.35,167.94,170.5,88.2,8326637,1398363031.0,60536
25-Jan-2024,EQ,160.0,165.0,158.7,159.0,163.25,163.6,162.84,170.2,88.2,4550196,740950922.15,39325
24-Jan-2024,EQ,159.3,162.1,154.6,159.3,158.6,159.0,158.52,170.2,88.2,3005522,476441044.5,36922
23-Jan-2024,EQ,164.0,169.9,156.95,163.2,159.2,159.3,164.51,170.2,88.2,6100159,1003553593.2,53215
20-Jan-2024,EQ,160.9,167.7,160.8,159.85,162.5,163.2,164.87,170.2,88.2,2794070,460655707.55,24166
19-Jan-2024,EQ,161.0,163.3,159.05,160.35,159.6,159.85,160.62,170.2,88.2,2238562,359553994.35,21413
18-Jan-2024,EQ,159.9,161.25,153.0,161.25,159.7,160.35,158.3,170.2,88.2,2899688,459017668.6,31255
17-Jan-2024,EQ,161.95,165.6,160.0,164.85,161.1,161.25,163.06,170.2,88.2,2618189,426916986.65,25756
16-Jan-2024,EQ,167.3,168.35,160.8,166.5,164.8,164.85,164.78,170.2,88.2,2999249,494206857.75,30387
15-Jan-2024,EQ,167.3,170.2,164.5,165.35,166.0,166.5,166.97,170.2,88.2,5318053,887954629.7,47947
12-Jan-2024,EQ,166.75,168.6,163.85,165.1,165.0,165.35,166.14,168.95,88.2,5904920,981034242.85,45050
11-Jan-2024,EQ,158.0,168.95,157.7,156.75,165.65,165.1,165.15,168.95,88.2,19660916,3246940679.95,115581
10-Jan-2024,EQ,155.9,158.9,153.2,155.95,156.75,156.75,155.61,161.5,88.2,2299271,357788668.05,34699
09-Jan-2024,EQ,157.7,159.15,155.65,156.2,155.9,155.95,157.47,161.5,88.2,1441170,226945212.85,18447
08-Jan-2024,EQ,157.45,160.0,155.1,157.15,156.35,156.2,157.16,161.5,88.2,2115753,332516895.1,22185
05-Jan-2024,EQ,159.9,160.6,154.0,159.15,157.15,157.15,158.18,161.5,88.2,2994748,473719913.95,28555
04-Jan-2024,EQ,158.0,160.15,157.3,156.7,159.1,159.15,159.16,161.5,88.2,2746947,437201972.35,25922
03-Jan-2024,EQ,158.05,159.0,156.5,158.75,156.8,156.7,157.31,161.5,88.2,1626505,255869549.35,20584
02-Jan-2024,EQ,159.8,160.25,154.7,158.6,158.05,158.75,158.36,161.5,88.2,4375827,692948404.6,42158
01-Jan-2024,EQ,153.65,161.5,152.05,153.05,157.9,158.6,158.31,161.5,88.2,6785151,1074131399.3,47376
